Prompt,Geom,Length (mm),Bias Type
Create a basic flat plate mesh (600 mm) with high density near the wall.,flat_plate,600,wall_high
"BFS mesh requested: 750 mm long, high density near the wall.",bfs,750,wall_high
"BFS mesh requested: unspecified long, high resolution at the step.",bfs,unspecified,step_high
I need a flat plate mesh about 2000 mm. High density near the wall.,flat_plate,2000,wall_high
Generate BFS mesh (5 mm) and apply high resolution at the step.,bfs,5,step_high
"Generate a mesh for a flat plate of 1500 mm, ensure high resolution at the step.",flat_plate,1500,step_high
"BFS mesh requested: 750 mm long, high resolution at the step.",bfs,750,step_high
Create a basic flat plate mesh (1500 mm) with no bias required.,flat_plate,1500,none
Generate BFS mesh (300 mm) and apply no bias required.,bfs,300,none
"Mesh a backward-facing step geometry, high resolution at the step at the step (length 5 mm).",bfs,5,step_high
Create a basic flat plate mesh (2000 mm) with no bias required.,flat_plate,2000,none
Need a BFS mesh of 200 mm; high density near the wall regions preferred.,bfs,200,wall_high
Create a basic flat plate mesh (100 mm) with high resolution at the step.,flat_plate,100,step_high
"Please create a mesh for backward-facing step, no bias required; domain length 2500 mm.",bfs,2500,none
"BFS mesh requested: 200 mm long, high resolution at the step.",bfs,200,step_high
"BFS mesh requested: 25 mm long, high density near the wall.",bfs,25,wall_high
"Requesting flat plate mesh: 150 mm long, high density near the wall.",flat_plate,150,wall_high
"Please create a mesh for backward-facing step, high resolution at the step; domain length 25 mm.",bfs,25,step_high
Generate BFS mesh (75 mm) and apply high density near the wall.,bfs,75,wall_high
"BFS mesh requested: 4000 mm long, no bias required.",bfs,4000,none
Generate BFS mesh (1800 mm) and apply high resolution at the step.,bfs,1800,step_high
"Please create a mesh for backward-facing step, high density near the wall; domain length 150 mm.",bfs,150,wall_high
Please mesh a flat plate; length 1800 mm. Priority: high resolution at the step.,flat_plate,1800,step_high
"Requesting flat plate mesh: unspecified long, high resolution at the step.",flat_plate,unspecified,step_high
Create a basic flat plate mesh (750 mm) with high resolution at the step.,flat_plate,750,step_high
Create a basic flat plate mesh (900 mm) with high resolution at the step.,flat_plate,900,step_high
Please mesh a flat plate; length 25 mm. Priority: high resolution at the step.,flat_plate,25,step_high
Generate BFS mesh (25 mm) and apply no bias required.,bfs,25,none
Need a BFS mesh of 4500 mm; high density near the wall regions preferred.,bfs,4500,wall_high
Please mesh a flat plate; length 100 mm. Priority: no bias required.,flat_plate,100,none
